epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,2511.44,0.97766,0.51227,0.85729,0.86747,0.85423,0.91076,0.59848,0.88649,0.52812,0.93053,0.000810688,0.000810688,0.000810688
73,2539.4,0.98242,0.52014,0.85311,0.84107,0.81598,0.85975,0.57992,0.80113,0.46723,0.88599,0.0008045,0.0008045,0.0008045
74,2567.02,0.99358,0.52559,0.85941,0.94539,0.78235,0.89816,0.60462,0.80565,0.4743,0.89593,0.000798313,0.000798313,0.000798313
75,2594.28,0.98666,0.52097,0.85906,0.92514,0.81707,0.90622,0.60156,0.82831,0.44646,0.90466,0.000792125,0.000792125,0.000792125
76,2621.46,0.97536,0.5135,0.85607,0.93948,0.81326,0.89344,0.59667,0.83953,0.45829,0.90325,0.000785938,0.000785938,0.000785938
77,2649.39,0.9798,0.51354,0.85137,0.93595,0.80728,0.91317,0.60247,0.8418,0.52394,0.91143,0.00077975,0.00077975,0.00077975
78,2676.48,0.99165,0.52032,0.85358,0.85172,0.81042,0.85977,0.57157,0.93809,0.50902,1.03793,0.000773563,0.000773563,0.000773563
79,2703.88,0.9848,0.5083,0.85551,0.88772,0.87145,0.91964,0.62332,0.79212,0.42445,0.90352,0.000767375,0.000767375,0.000767375
80,2731.03,0.98705,0.52332,0.85901,0.84368,0.86199,0.90302,0.61547,0.77124,0.42858,0.87803,0.000761188,0.000761188,0.000761188
81,2757.57,0.97539,0.50443,0.85187,0.84766,0.86572,0.90646,0.59289,0.77225,0.43132,0.86875,0.000755,0.000755,0.000755
82,2784.76,0.94975,0.50554,0.85074,0.92455,0.81484,0.89096,0.59516,0.78599,0.42583,0.87666,0.000748813,0.000748813,0.000748813
83,2812.12,0.9706,0.51052,0.85025,0.90119,0.8323,0.90375,0.60143,0.76464,0.44493,0.86913,0.000742625,0.000742625,0.000742625
84,2839.59,0.97431,0.50926,0.8575,0.87384,0.875,0.89601,0.60114,0.7653,0.44111,0.87996,0.000736438,0.000736438,0.000736438
85,2867.04,0.9783,0.51528,0.85321,0.91447,0.81566,0.89639,0.60114,0.78162,0.46038,0.89462,0.00073025,0.00073025,0.00073025
86,2894.37,0.96225,0.49996,0.85156,0.90828,0.82182,0.91188,0.60803,0.81165,0.45385,0.90387,0.000724062,0.000724062,0.000724062
87,2922.14,0.95421,0.49401,0.85008,0.91237,0.83422,0.90824,0.61341,0.78121,0.42533,0.87679,0.000717875,0.000717875,0.000717875
88,2950.12,0.96268,0.50617,0.85283,0.94398,0.80162,0.89252,0.59031,0.78827,0.45285,0.88397,0.000711687,0.000711687,0.000711687
89,2976.47,0.97356,0.51088,0.85048,0.85036,0.81971,0.87867,0.59744,0.75083,0.43915,0.86529,0.0007055,0.0007055,0.0007055
90,3003.41,0.9636,0.50373,0.85245,0.91648,0.7815,0.89817,0.59791,0.79231,0.43994,0.87082,0.000699312,0.000699312,0.000699312
91,3030.71,0.96039,0.50534,0.84985,0.88636,0.84616,0.91755,0.60451,0.77392,0.40673,0.87541,0.000693125,0.000693125,0.000693125
92,3058.47,0.96812,0.4974,0.84729,0.95601,0.79406,0.90434,0.61887,0.76606,0.43773,0.87531,0.000686937,0.000686937,0.000686937
93,3086.69,0.96782,0.49526,0.85362,0.91003,0.85216,0.91718,0.60622,0.76529,0.40339,0.85974,0.00068075,0.00068075,0.00068075
94,3114.16,0.95799,0.49253,0.8466,0.88494,0.88718,0.91233,0.61869,0.80447,0.48718,0.89507,0.000674562,0.000674562,0.000674562
95,3141.84,0.94872,0.49089,0.85235,0.86878,0.82192,0.86936,0.59025,0.7826,0.42783,0.87607,0.000668375,0.000668375,0.000668375
96,3169.47,0.94279,0.49377,0.84903,0.87673,0.849,0.90538,0.6002,0.77939,0.41451,0.87322,0.000662188,0.000662188,0.000662188
97,3197.34,0.94738,0.49626,0.84638,0.90667,0.87859,0.9204,0.62211,0.74241,0.40161,0.87165,0.000656,0.000656,0.000656
98,3224.94,0.95714,0.49266,0.84921,0.90373,0.83935,0.91548,0.61315,0.78277,0.4082,0.87063,0.000649813,0.000649813,0.000649813
99,3252.73,0.95917,0.49924,0.84736,0.892,0.84393,0.9051,0.59704,0.78668,0.44718,0.88153,0.000643625,0.000643625,0.000643625
100,3280.28,0.9272,0.48426,0.84604,0.92593,0.81168,0.90538,0.60817,0.76657,0.43404,0.87572,0.000637437,0.000637437,0.000637437
101,3307.66,0.93203,0.48822,0.84783,0.90774,0.81595,0.89885,0.59872,0.7474,0.41582,0.86345,0.00063125,0.00063125,0.00063125
102,3335.16,0.92799,0.47876,0.8467,0.89587,0.8701,0.91523,0.6194,0.7486,0.41209,0.85732,0.000625062,0.000625062,0.000625062
103,3362.88,0.95632,0.49368,0.85086,0.90808,0.81717,0.89393,0.60184,0.78309,0.45635,0.88033,0.000618875,0.000618875,0.000618875
104,3391.05,0.9431,0.48652,0.84295,0.87728,0.85478,0.90097,0.61482,0.7589,0.41329,0.86892,0.000612687,0.000612687,0.000612687
105,3418.92,0.92918,0.47884,0.8506,0.90616,0.8547,0.90166,0.60941,0.80633,0.43747,0.89612,0.0006065,0.0006065,0.0006065
106,3446.77,0.9188,0.47553,0.84554,0.90638,0.84458,0.91862,0.6217,0.77329,0.44629,0.87508,0.000600313,0.000600313,0.000600313
107,3474.99,0.95934,0.4898,0.84715,0.88568,0.81441,0.9009,0.61849,0.79501,0.47571,0.89345,0.000594125,0.000594125,0.000594125
108,3503.03,0.93063,0.48344,0.84514,0.86222,0.85799,0.90694,0.61504,0.83899,0.49996,0.91485,0.000587938,0.000587938,0.000587938
109,3530.95,0.92191,0.48408,0.84553,0.93155,0.81151,0.91614,0.61902,0.7893,0.45052,0.901,0.00058175,0.00058175,0.00058175
110,3558.39,0.93911,0.48797,0.85171,0.85934,0.85365,0.90992,0.61166,0.88245,0.54355,0.97806,0.000575563,0.000575563,0.000575563
111,3586.11,0.92915,0.48014,0.84394,0.92059,0.8331,0.91043,0.61682,0.87345,0.47987,0.98144,0.000569375,0.000569375,0.000569375
112,3613.58,0.92044,0.47867,0.84474,0.92312,0.85582,0.90837,0.61604,0.76194,0.43374,0.87348,0.000563187,0.000563187,0.000563187
113,3640.58,0.92595,0.47524,0.84304,0.88379,0.86197,0.92635,0.61742,0.83205,0.46383,0.9225,0.000557,0.000557,0.000557
114,3667.11,0.93151,0.47851,0.84887,0.87648,0.81513,0.87884,0.59914,0.81045,0.45722,0.88872,0.000550813,0.000550813,0.000550813
115,3694.58,0.91083,0.47015,0.84402,0.90977,0.82493,0.90116,0.60475,0.84645,0.42825,0.91695,0.000544625,0.000544625,0.000544625
116,3722.11,0.90929,0.47186,0.84463,0.90922,0.86587,0.91255,0.62165,0.78523,0.41743,0.88116,0.000538438,0.000538438,0.000538438
117,3749.71,0.91695,0.47096,0.8416,0.89315,0.85661,0.9196,0.62386,0.80111,0.45518,0.88479,0.00053225,0.00053225,0.00053225
118,3777.06,0.91191,0.46606,0.84006,0.8866,0.84612,0.91564,0.62376,0.81365,0.45652,0.89929,0.000526063,0.000526063,0.000526063
119,3804.82,0.91014,0.4667,0.84085,0.89479,0.83698,0.90166,0.60324,0.83924,0.43275,0.9293,0.000519875,0.000519875,0.000519875
120,3832.94,0.89923,0.46387,0.84582,0.91689,0.80986,0.89683,0.61651,0.77571,0.40066,0.88467,0.000513688,0.000513688,0.000513688
121,3860.46,0.90119,0.46551,0.84369,0.89229,0.89007,0.92109,0.61954,0.76727,0.41104,0.87228,0.0005075,0.0005075,0.0005075
