epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,3363.86,0.91914,0.48074,0.85068,0.92081,0.85091,0.91501,0.61555,0.78321,0.4092,0.87576,0.000637437,0.000637437,0.000637437
101,3390.14,0.9277,0.48409,0.85258,0.92677,0.80627,0.90172,0.60614,0.79312,0.44006,0.88578,0.00063125,0.00063125,0.00063125
102,3415.24,0.92421,0.47403,0.85038,0.90908,0.84536,0.91521,0.6213,0.77273,0.41133,0.8797,0.000625062,0.000625062,0.000625062
103,3441.57,0.93733,0.47807,0.85322,0.87533,0.84547,0.90963,0.61053,0.76235,0.40217,0.86234,0.000618875,0.000618875,0.000618875
104,3468.32,0.93002,0.4783,0.84685,0.8912,0.86115,0.90559,0.6219,0.75637,0.40213,0.87014,0.000612687,0.000612687,0.000612687
105,3494.87,0.91419,0.47187,0.85244,0.94337,0.82254,0.91933,0.61842,0.79547,0.45206,0.883,0.0006065,0.0006065,0.0006065
106,3521.88,0.91402,0.47277,0.85098,0.90951,0.83567,0.91186,0.61112,0.7936,0.4196,0.88777,0.000600313,0.000600313,0.000600313
107,3549.03,0.93726,0.47675,0.84948,0.90033,0.82513,0.90134,0.61588,0.76856,0.39871,0.86834,0.000594125,0.000594125,0.000594125
108,3575.65,0.9178,0.47367,0.84875,0.92609,0.84559,0.92031,0.62983,0.80925,0.42268,0.90147,0.000587938,0.000587938,0.000587938
109,3601.33,0.90891,0.47216,0.84839,0.87121,0.84283,0.90003,0.6027,0.83917,0.41828,0.90228,0.00058175,0.00058175,0.00058175
110,3626.97,0.92233,0.47155,0.85424,0.94519,0.83042,0.9152,0.61589,0.81859,0.41451,0.8897,0.000575563,0.000575563,0.000575563
111,3653.59,0.92486,0.47399,0.8486,0.9239,0.81005,0.89769,0.60695,0.78131,0.42116,0.87265,0.000569375,0.000569375,0.000569375
112,3680.48,0.90007,0.46471,0.84602,0.93809,0.82195,0.90606,0.61803,0.75622,0.40614,0.85657,0.000563187,0.000563187,0.000563187
113,3707.09,0.9109,0.46636,0.84517,0.93498,0.848,0.92494,0.62051,0.79418,0.40763,0.8777,0.000557,0.000557,0.000557
114,3734.2,0.91403,0.47081,0.84989,0.93686,0.83232,0.91234,0.6226,0.77978,0.40023,0.86983,0.000550813,0.000550813,0.000550813
115,3761.44,0.90506,0.46977,0.84624,0.90389,0.82725,0.90416,0.61081,0.81003,0.42422,0.89163,0.000544625,0.000544625,0.000544625
116,3788.35,0.89403,0.46032,0.84726,0.93134,0.82634,0.91422,0.62005,0.81395,0.44339,0.89509,0.000538438,0.000538438,0.000538438
117,3814.35,0.90646,0.46398,0.84382,0.93557,0.84914,0.91819,0.6122,0.84215,0.47306,0.91396,0.00053225,0.00053225,0.00053225
118,3840.07,0.90502,0.45552,0.84286,0.92402,0.85637,0.92171,0.62664,0.7769,0.40097,0.87545,0.000526063,0.000526063,0.000526063
119,3866.91,0.89305,0.45655,0.84196,0.93888,0.82359,0.90199,0.61495,0.79101,0.41549,0.88089,0.000519875,0.000519875,0.000519875
120,3893.59,0.88926,0.4588,0.84852,0.92034,0.81994,0.90274,0.62671,0.76973,0.39654,0.87215,0.000513688,0.000513688,0.000513688
121,3920.24,0.8926,0.45961,0.84848,0.92115,0.82998,0.90256,0.61915,0.81325,0.43535,0.89977,0.0005075,0.0005075,0.0005075
122,3946.96,0.91067,0.46676,0.84718,0.90025,0.84001,0.90312,0.61099,0.82998,0.48539,0.8927,0.000501313,0.000501313,0.000501313
123,3973.46,0.89297,0.46061,0.84653,0.91541,0.84919,0.91944,0.62089,0.77257,0.39793,0.86271,0.000495125,0.000495125,0.000495125
124,3999.49,0.87643,0.45048,0.84239,0.91598,0.83768,0.90809,0.6147,0.76265,0.39878,0.86793,0.000488938,0.000488938,0.000488938
125,4026.26,0.90891,0.464,0.84554,0.93745,0.82265,0.91475,0.62945,0.76191,0.38398,0.86374,0.00048275,0.00048275,0.00048275
126,4053.16,0.89387,0.45471,0.84216,0.87873,0.82316,0.88458,0.59715,0.82501,0.4486,0.89707,0.000476562,0.000476562,0.000476562
127,4080.33,0.89089,0.45364,0.84337,0.8375,0.8817,0.90634,0.62716,0.78878,0.38854,0.87992,0.000470375,0.000470375,0.000470375
128,4107.1,0.89522,0.45441,0.84434,0.94692,0.81451,0.91176,0.62696,0.76446,0.38989,0.86659,0.000464188,0.000464188,0.000464188
129,4134.07,0.88414,0.4483,0.83791,0.87698,0.83451,0.89998,0.61881,0.78487,0.3843,0.87058,0.000458,0.000458,0.000458
